,sentence,label
0,"Завершение строительства нового стадиона отложено на неопределенный срок из-за обнаруженных дефектов в конструкции.",1
1,"Открытие нового жилого комплекса задерживается на полгода из-за задержек в поставке строительных материалов.",1
2,"Запуск новой ТЭЦ перенесен на следующий год из-за нехватки финансирования.",1
3,"Строительство нового моста задерживается на два месяца из-за неблагоприятных погодных условий.",1
4,"Ввод в эксплуатацию нового детского сада отложен из-за административных проволочек.",1
5,"Открытие нового аэропорта переносится на неопределенный срок из-за технических проблем с навигационной системой.",1
6,"Завершение строительства больницы отложено на три месяца из-за отсутствия необходимых лицензий.",1
7,"Запуск нового промышленного предприятия задерживается из-за проблем с получением разрешений.",1
8,"Ввод в эксплуатацию нового спортивного комплекса отложен из-за финансовых трудностей у подрядчика.",1
9,"Открытие нового торгового центра переносится на следующий год из-за задержек в строительных работах.",1
10,"Запуск новой линии метро задерживается на несколько месяцев из-за протестов местных жителей.",1
11,"Строительство нового автодорожного узла отложено из-за обнаруженных археологических находок.",1
12,"Ввод в эксплуатацию нового парка развлечений переносится на неопределенный срок из-за проблем с поставкой оборудования.",1
13,"Завершение строительства нового жилого дома отложено на полгода из-за нехватки рабочих.",1
14,"Открытие нового музея задерживается из-за необходимости внесения изменений в проект.",1
15,"Строительство новой школы отложено на несколько месяцев из-за недостаточного финансирования.",1
16,"Ввод в эксплуатацию нового медицинского центра переносится на следующий год из-за проблем с подрядчиком.",1
17,"Запуск нового газопровода задерживается из-за задержек в поставке труб.",1
18,"Открытие нового театра отложено на неопределенный срок из-за обнаруженных нарушений в строительстве.",1
19,"Завершение строительства нового офиса задерживается из-за проблем с получением разрешений.",1
20,"Ввод в эксплуатацию нового концертного зала переносится на следующий год из-за нехватки материалов.",1
21,"Открытие нового университетского кампуса отложено на несколько месяцев из-за технических трудностей.",1
22,"Строительство нового бассейна задерживается из-за финансовых проблем у застройщика.",1
23,"Запуск новой больницы отложен на неопределенный срок из-за нехватки оборудования.",1
24,"Открытие нового кинотеатра переносится на следующий год из-за задержек в строительных работах.",1
25,"Завершение строительства нового вокзала задерживается из-за проблем с подрядчиками.",1
26,"Ввод в эксплуатацию новой фабрики отложен на полгода из-за нехватки рабочей силы.",1
27,"Открытие нового торгового центра отложено на неопределенный срок из-за обнаруженных дефектов.",1
28,"Строительство нового жилого комплекса задерживается на несколько месяцев из-за проблем с поставкой материалов.",1
29,"Запуск нового завода перенесен на следующий год из-за задержек в строительных работах.",1
0,"Завершение строительства нового стадиона, начатое в 2019 году, отложено на неопределенный срок из-за обнаруженных дефектов в конструкции, что требует дополнительного времени для устранения.",1
1,"Открытие нового жилого комплекса, который должен был принять первых жильцов еще в прошлом году, задерживается на полгода из-за серьезных задержек в поставке строительных материалов из-за рубежа.",1
2,"Запуск новой ТЭЦ, которая планировалась к открытию в этом месяце, перенесен на следующий год из-за нехватки финансирования, вызванной экономическими трудностями.",1
3,"Строительство нового моста через реку, важного для улучшения транспортной сети города, задерживается на два месяца из-за неблагоприятных погодных условий, препятствующих завершению работ.",1
4,"Ввод в эксплуатацию нового детского сада, рассчитанного на 200 мест, отложен из-за административных проволочек и необходимости дополнительных согласований с местными властями.",1
5,"Открытие нового аэропорта, строительство которого началось еще в 2018 году, переносится на неопределенный срок из-за технических проблем с навигационной системой и отсутствия необходимого оборудования.",1
6,"Завершение строительства больницы, которая должна была начать прием пациентов в этом месяце, отложено на три месяца из-за отсутствия необходимых лицензий и разрешений от государственных органов.",1
7,"Запуск нового промышленного предприятия, который был запланирован на конец года, задерживается из-за проблем с получением разрешений на эксплуатацию оборудования и несоответствия техническим стандартам.",1
8,"Ввод в эксплуатацию нового спортивного комплекса, который должен был стать крупнейшим в регионе, отложен из-за финансовых трудностей у подрядчика и необходимости пересмотра бюджета проекта.",1
9,"Открытие нового торгового центра, ожидаемого многими горожанами, переносится на следующий год из-за задержек в строительных работах, вызванных недостатком рабочей силы и материалов.",1
10,"Запуск новой линии метро, которая должна была значительно сократить время в пути для жителей окраин, задерживается на несколько месяцев из-за протестов местных жителей и сложностей с переселением.",1
11,"Строительство нового автодорожного узла, включающего в себя множество развязок и тоннелей, отложено из-за обнаруженных археологических находок, требующих тщательного изучения и сохранения.",1
12,"Ввод в эксплуатацию нового парка развлечений, который должен был стать крупнейшим в регионе, переносится на неопределенный срок из-за проблем с поставкой оборудования и недостатка финансирования.",1
13,"Завершение строительства нового жилого дома, который уже несколько раз переносился, отложено на полгода из-за нехватки рабочих и проблем с подрядчиками.",1
14,"Открытие нового музея, который должен был стать культурным центром города, задерживается из-за необходимости внесения изменений в проект и получения дополнительных согласований.",1
15,"Строительство новой школы, которая должна была начать работу с нового учебного года, отложено на несколько месяцев из-за недостаточного финансирования и задержек в поставках строительных материалов.",1
16,"Ввод в эксплуатацию нового медицинского центра, который должен был начать прием пациентов в этом месяце, переносится на следующий год из-за проблем с подрядчиком и необходимостью переделки части работ.",1
17,"Запуск нового газопровода, который должен был обеспечить газом несколько регионов, задерживается из-за задержек в поставке труб и других материалов, необходимых для завершения строительства.",1
18,"Открытие нового театра, на который так долго ждали жители города, отложено на неопределенный срок из-за обнаруженных нарушений в строительстве и необходимости проведения дополнительных работ.",1
19,"Завершение строительства нового офиса, который должен был стать штаб-квартирой крупной компании, задерживается из-за проблем с получением разрешений и несоответствия проектной документации.",1
20,"Ввод в эксплуатацию нового концертного зала, который должен был стать главным культурным объектом региона, переносится на следующий год из-за нехватки материалов и задержек в строительных работах.",1
21,"Открытие нового университетского кампуса, который должен был принять студентов уже в этом году, отложено на несколько месяцев из-за технических трудностей и необходимости доработок в инфраструктуре.",1
22,"Строительство нового бассейна, который должен был стать главным спортивным объектом города, задерживается из-за финансовых проблем у застройщика и необходимости поиска дополнительных инвестиций.",1
23,"Запуск новой больницы, строительство которой было завершено еще в прошлом году, отложен на неопределенный срок из-за нехватки оборудования и проблем с поставщиками.",1
24,"Открытие нового кинотеатра, который должен был стать крупнейшим в городе, переносится на следующий год из-за задержек в строительных работах и проблем с подрядчиками.",1
25,"Завершение строительства нового вокзала, который должен был улучшить транспортную доступность региона, задерживается из-за проблем с подрядчиками и необходимостью пересмотра проектной документации.",1
26,"Ввод в эксплуатацию новой фабрики, которая должна была создать множество рабочих мест, отложен на полгода из-за нехватки рабочей силы и задержек в поставке оборудования.",1
27,"Открытие нового торгового центра, который должен был стать главным торговым объектом города, отложено на неопределенный срок из-за обнаруженных дефектов в конструкции и необходимости проведения дополнительных работ.",1
28,"Строительство нового жилого комплекса, который должен был быть завершен еще в прошлом году, задерживается на несколько месяцев из-за проблем с поставкой материалов и нехватки рабочих.",1
29,"Запуск нового завода, который должен был начать производство в этом месяце, перенесен на следующий год из-за задержек в строительных работах и проблем с получением разрешений.",1
0,"Проект по строительству новой школы на 800 мест столкнулся с непредвиденными трудностями, что привело к переносу сроков сдачи объекта на неопределенное время.",1
1,"Запланированное открытие нового медицинского центра в следующем месяце не состоится из-за задержек, связанных с получением необходимых лицензий.",1
2,"Завершение реконструкции центрального парка города откладывается на полгода из-за нехватки финансирования и пересмотра проектной документации.",1
3,"Строительство нового жилого комплекса в центре города затягивается из-за проблем с подключением коммуникаций и согласованием с городскими властями.",1
4,"Ввод в эксплуатацию нового бизнес-центра, строительство которого началось еще в 2017 году, переносится на следующий год из-за недостачи строительных материалов.",1
5,"Запуск новой ветки метро, который должен был состояться к концу года, откладывается из-за технических сложностей и протестов местных жителей.",1
6,"Строительство нового моста через реку задерживается из-за обнаружения археологических находок на строительной площадке, что требует дополнительных исследований.",1
7,"Завершение работ по возведению нового корпуса университетской клиники откладывается на неопределенный срок из-за трудностей с подрядчиками и нехватки рабочих рук.",1
8,"Запуск нового стадиона, который должен был стать одним из крупнейших в регионе, переносится на следующий год из-за обнаруженных нарушений в строительстве.",1
9,"Открытие нового театра, которое было запланировано на конец месяца, задерживается из-за необходимости внесения изменений в проект и получения дополнительных разрешений.",1
10,"Строительство нового торгового центра в пригороде задерживается на несколько месяцев из-за проблем с подрядчиком и нехватки строительных материалов.",1
11,"Запуск нового газопровода, который должен был обеспечить газом несколько регионов, переносится из-за задержек в поставках труб и других необходимых материалов.",1
12,"Завершение строительства нового комплекса для переселенцев откладывается на полгода из-за нехватки финансирования и необходимости пересмотра проектной документации.",1
13,"Ввод в эксплуатацию нового завода по переработке отходов откладывается из-за проблем с экологической экспертизой и согласованием с местными властями.",1
14,"Открытие нового спортивного комплекса в центре города задерживается из-за недочетов в строительстве и необходимости проведения дополнительных работ.",1
15,"Запуск нового музейного комплекса переносится на следующий год из-за трудностей с получением разрешений и нехватки финансирования.",1
16,"Завершение строительства нового бассейна, который должен был стать главным спортивным объектом района, откладывается на несколько месяцев из-за проблем с подрядчиками.",1
17,"Ввод в эксплуатацию нового парка развлечений переносится на неопределенный срок из-за задержек в поставках оборудования и нехватки рабочей силы.",1
18,"Открытие нового жилого комплекса задерживается из-за проблем с подключением к инженерным сетям и задержек в строительных работах.",1
19,"Строительство нового офисного здания в деловом центре города затягивается из-за необходимости пересмотра проектной документации и нехватки строительных материалов.",1
20,"Запуск нового промышленного предприятия, который был запланирован на конец года, откладывается из-за проблем с получением разрешений и нехватки финансирования.",1
21,"Завершение строительства нового вокзала, который должен был улучшить транспортную доступность города, задерживается из-за трудностей с подрядчиками и необходимостью пересмотра бюджета проекта.",1
22,"Ввод в эксплуатацию нового концертного зала, который должен был стать главным культурным объектом региона, откладывается на следующий год из-за проблем с поставками материалов.",1
23,"Открытие нового университетского кампуса, который должен был принять студентов уже в этом году, задерживается из-за технических трудностей и необходимости внесения изменений в проект.",1
24,"Строительство нового детского сада задерживается на несколько месяцев из-за административных проволочек и необходимости получения дополнительных согласований.",1
25,"Запуск новой линии трамвая, который должен был значительно сократить время в пути для жителей, откладывается из-за протестов местных жителей и сложностей с переселением.",1
26,"Завершение реконструкции исторического здания откладывается на неопределенный срок из-за обнаружения скрытых дефектов и необходимости проведения дополнительных работ.",1
27,"Ввод в эксплуатацию нового спортивного комплекса, который должен был стать крупнейшим в регионе, задерживается из-за финансовых трудностей у подрядчика.",1
28,"Открытие нового жилого квартала, запланированное на конец года, откладывается из-за проблем с поставками строительных материалов и нехватки рабочей силы.",1
29,"Строительство нового бизнес-центра в центре города затягивается из-за проблем с подключением к инженерным сетям и согласованием проектной документации.",1
0,"Завершение строительства нового спортивного стадиона, который должен был быть готов к летнему сезону, откладывается на неопределенный срок из-за проблем с лицензированием поставленного оборудования.",1
1,"Открытие нового жилого квартала, который должен был принять первых жильцов уже этой весной, задерживается из-за непредвиденных трудностей с ландшафтным дизайном и благоустройством территории.",1
2,"Запуск нового завода по производству электроники, запланированный на конец этого года, переносится на несколько месяцев из-за проблем с поставками компонентов из-за рубежа.",1
3,"Строительство нового моста через реку столкнулось с дополнительными трудностями, вызванными необходимостью укрепления береговой линии, что привело к переносу сроков сдачи объекта.",1
4,"Ввод в эксплуатацию нового детского сада, который должен был начать работу в сентябре, откладывается из-за задержек в поставке оборудования для детских площадок.",1
5,"Открытие нового торгового центра, на которое так ждали горожане, переносится на полгода из-за необходимости проведения дополнительных работ по улучшению безопасности здания.",1
6,"Завершение строительства нового университетского корпуса, которое должно было завершиться к началу учебного года, задерживается из-за необходимости переделки части фасадных работ.",1
7,"Запуск нового медицинского центра, который должен был стать крупнейшим в регионе, откладывается из-за проблем с сертификацией медицинского оборудования.",1
8,"Строительство нового жилого комплекса на окраине города затягивается из-за трудностей с подключением к центральным коммуникациям и согласованием проектной документации.",1
9,"Ввод в эксплуатацию нового концертного зала, который должен был стать культурным центром города, откладывается на неопределенный срок из-за проблем с акустикой и необходимостью проведения дополнительных тестов.",1
10,"Открытие нового бизнес-центра в деловом районе города задерживается из-за нехватки рабочих и задержек в поставках строительных материалов.",1
11,"Строительство новой линии метро, которая должна была значительно улучшить транспортную инфраструктуру города, откладывается из-за протестов местных жителей и проблем с переселением домов.",1
12,"Завершение работ по возведению нового корпуса больницы откладывается из-за обнаружения скрытых дефектов в конструкции здания и необходимости их устранения.",1
13,"Запуск нового промышленного комплекса, который должен был начать работу в этом месяце, переносится на следующий год из-за нехватки финансирования и проблем с подрядчиками.",1
14,"Ввод в эксплуатацию нового парка развлечений, который должен был стать главной достопримечательностью города, откладывается из-за проблем с лицензированием аттракционов и безопасности.",1
15,"Открытие нового офисного здания, строительство которого началось еще три года назад, задерживается из-за трудностей с получением разрешений и нехватки финансирования.",1
16,"Строительство нового жилого дома в центре города затягивается из-за проблем с подключением к инженерным сетям и задержек в поставках строительных материалов.",1
17,"Запуск новой ветки железной дороги, который должен был значительно улучшить транспортное сообщение между регионами, откладывается из-за сложностей с прокладкой пути через горную местность.",1
18,"Завершение реконструкции старого здания театра откладывается на неопределенный срок из-за необходимости проведения дополнительных реставрационных работ и согласования с культурными организациями.",1
19,"Ввод в эксплуатацию нового торгово-развлекательного комплекса, который должен был стать крупнейшим в регионе, откладывается из-за задержек в строительных работах и проблем с подрядчиками.",1
20,"Открытие нового спортивного комплекса, который должен был стать главным объектом для проведения городских соревнований, задерживается из-за нехватки рабочих и задержек в поставках материалов.",1
21,"Строительство нового жилого комплекса, который должен был завершиться в этом году, затягивается из-за необходимости внесения изменений в проектную документацию и задержек с поставками материалов.",1
22,"Запуск нового завода по производству строительных материалов, запланированный на конец года, откладывается из-за нехватки рабочей силы и проблем с получением необходимых лицензий.",1
23,"Ввод в эксплуатацию нового моста, строительство которого началось еще в прошлом году, откладывается из-за обнаружения дефектов в конструкции и необходимости проведения дополнительных работ.",1
24,"Открытие нового жилого комплекса, который должен был принять первых жильцов уже этой весной, задерживается из-за проблем с ландшафтным дизайном и благоустройством территории.",1
25,"Строительство нового делового центра в центре города затягивается из-за проблем с подключением к инженерным сетям и задержек в поставках строительных материалов.",1
26,"Запуск новой линии трамвая, который должен был значительно сократить время в пути для жителей, откладывается из-за протестов местных жителей и сложностей с переселением.",1
27,"Завершение реконструкции исторического здания музея откладывается на неопределенный срок из-за обнаружения скрытых дефектов и необходимости проведения дополнительных реставрационных работ.",1
28,"Ввод в эксплуатацию нового спортивного комплекса, который должен был стать крупнейшим в регионе, задерживается из-за финансовых трудностей у подрядчика и нехватки рабочих.",1
29,"Открытие нового жилого квартала, запланированное на конец года, откладывается из-за проблем с поставками строительных материалов и нехватки рабочей силы.",1
0,"Планируемое открытие новой библиотеки, которая должна была стать центром культурного развития района, переносится на несколько месяцев из-за задержек в отделочных работах и поставке мебели.",1
1,"Строительство нового аквапарка, обещанного к летнему сезону, задерживается из-за необходимости доработки системы водоочистки и получения дополнительных разрешений от санитарных служб.",1
2,"Запуск нового энергоблока на ТЭЦ, запланированный на конец года, откладывается из-за технических неполадок и необходимости замены оборудования.",1
3,"Открытие новой автомагистрали, которая должна была значительно разгрузить транспортный поток в городе, переносится на неопределенный срок из-за обнаруженных дефектов в дорожном полотне.",1
4,"Завершение строительства новой станции метро, начатое еще пять лет назад, откладывается из-за трудностей с прокладкой туннелей и необходимости проведения дополнительных геологических изысканий.",1
5,"Ввод в эксплуатацию нового спортивного стадиона, который должен был принять международные соревнования, задерживается из-за задержек в строительстве трибун и монтажу осветительного оборудования.",1
6,"Открытие нового ботанического сада, который должен был стать уникальным объектом в регионе, переносится на следующий год из-за проблем с акклиматизацией растений и нехватки специализированного персонала.",1
7,"Запуск нового химического завода, строительство которого началось три года назад, откладывается из-за задержек в получении экологических разрешений и протестов местных жителей.",1
8,"Строительство нового общежития для студентов университета затягивается из-за необходимости внесения изменений в проект и задержек в финансировании.",1
9,"Ввод в эксплуатацию нового терминала аэропорта, который должен был увеличить его пропускную способность вдвое, откладывается из-за проблем с интеграцией новых систем безопасности.",1
10,"Открытие нового центра искусств, строительство которого началось еще пять лет назад, задерживается из-за трудностей с получением лицензий и проблем с подрядчиками.",1
11,"Завершение строительства нового исследовательского института откладывается на несколько месяцев из-за задержек в поставке научного оборудования и необходимости проведения дополнительных испытаний.",1
12,"Запуск нового курортного комплекса, который должен был начать прием туристов уже этим летом, переносится на следующий год из-за проблем с лицензированием и нехваткой персонала.",1
13,"Строительство нового жилого комплекса в экологически чистом районе затягивается из-за необходимости пересмотра проекта и получения дополнительных согласований от властей.",1
14,"Ввод в эксплуатацию нового театрального комплекса, который должен был стать центром культурной жизни города, откладывается из-за проблем с акустикой и необходимостью проведения дополнительных работ.",1
15,"Открытие нового торгового центра, который должен был привлечь множество посетителей, переносится на несколько месяцев из-за задержек в строительных работах и проблем с подрядчиками.",1
16,"Завершение реконструкции старого здания городской администрации откладывается на неопределенный срок из-за обнаружения скрытых дефектов и необходимости проведения дополнительных реставрационных работ.",1
17,"Запуск нового завода по производству автомобилей, который должен был начать работу в этом месяце, откладывается из-за проблем с поставками комплектующих и нехваткой рабочей силы.",1
18,"Строительство нового аквапарка, который должен был стать главным развлекательным объектом региона, задерживается из-за проблем с финансированием и задержек в строительных работах.",1
19,"Ввод в эксплуатацию нового бизнес-центра, который должен был стать крупнейшим в городе, откладывается на следующий год из-за проблем с получением разрешений и нехваткой строительных материалов.",1
20,"Открытие нового музея, который должен был стать главной достопримечательностью города, переносится на несколько месяцев из-за задержек в строительных работах и необходимости внесения изменений в проект.",1
21,"Завершение строительства нового концертного зала, который должен был стать главным культурным объектом региона, откладывается из-за проблем с финансированием и задержек в поставках строительных материалов.",1
22,"Запуск нового промышленного предприятия, которое должно было создать множество рабочих мест, переносится на следующий год из-за проблем с получением разрешений и нехваткой рабочей силы.",1
23,"Строительство нового моста через реку задерживается из-за обнаружения археологических находок и необходимости проведения дополнительных исследований.",1
24,"Ввод в эксплуатацию нового торгового комплекса, который должен был стать крупнейшим в регионе, откладывается из-за проблем с подрядчиками и задержек в строительных работах.",1
25,"Открытие нового детского сада, который должен был начать работу в сентябре, задерживается из-за проблем с получением лицензий и нехваткой специалистов.",1
26,"Завершение строительства нового жилого дома, который должен был принять первых жильцов уже этой весной, откладывается на несколько месяцев из-за задержек в поставках строительных материалов.",1
27,"Запуск нового газопровода, который должен был обеспечить газом несколько регионов, переносится из-за проблем с получением разрешений и задержек в поставках оборудования.",1
28,"Строительство нового культурного центра, который должен был стать главным объектом для проведения городских мероприятий, задерживается из-за проблем с подрядчиками и нехваткой финансирования.",1
29,"Ввод в эксплуатацию нового офисного здания, которое должно было стать штаб-квартирой крупной компании, откладывается на несколько месяцев из-за проблем с подключением к инженерным сетям.",1
0,"Открытие нового спортивного комплекса, который должен был стать главным центром спортивной жизни города, откладывается на несколько месяцев из-за проблем с поставкой оборудования и нехваткой рабочей силы.",1
1,"Строительство нового делового центра в деловом районе города затягивается из-за задержек в поставках строительных материалов и необходимости пересмотра проектной документации.",1
2,"Запуск нового завода по производству медицинского оборудования, который должен был начаться в следующем месяце, переносится из-за проблем с получением необходимых сертификатов.",1
3,"Завершение строительства нового жилого квартала, который должен был быть готов к концу года, задерживается из-за необходимости пересмотра проекта и внесения изменений в документацию.",1
4,"Ввод в эксплуатацию нового детского развлекательного центра, который должен был открыть свои двери для детей уже этим летом, откладывается из-за проблем с лицензированием и нехваткой финансирования.",1
5,"Открытие новой школы, строительство которой началось еще три года назад, задерживается на неопределенный срок из-за проблем с подрядчиками и нехваткой материалов.",1
6,"Строительство нового научно-исследовательского центра затягивается из-за сложностей с интеграцией новых технологий и проблем с финансированием.",1
7,"Запуск нового терминала аэропорта, который должен был значительно увеличить пропускную способность, переносится из-за технических трудностей и задержек в поставках оборудования.",1
8,"Завершение строительства нового корпуса больницы, который должен был начать прием пациентов уже в этом месяце, откладывается из-за задержек в строительных работах и необходимости доработок.",1
9,"Ввод в эксплуатацию нового общежития для студентов университета задерживается из-за проблем с получением разрешений и нехваткой рабочих.",1
10,"Открытие нового культурного центра, который должен был стать центром культурной жизни города, переносится на следующий год из-за проблем с подрядчиками и задержек в поставках материалов.",1
11,"Строительство нового жилого комплекса в пригороде затягивается из-за необходимости пересмотра проектной документации и задержек в поставках строительных материалов.",1
12,"Запуск нового логистического центра, который должен был начать работу в следующем месяце, откладывается из-за проблем с получением разрешений и нехваткой рабочей силы.",1
13,"Завершение реконструкции старого здания городской администрации откладывается на несколько месяцев из-за необходимости проведения дополнительных реставрационных работ и проблем с подрядчиками.",1
14,"Ввод в эксплуатацию нового промышленного комплекса, который должен был создать множество рабочих мест, откладывается на неопределенный срок из-за проблем с получением разрешений и нехваткой финансирования.",1
15,"Открытие нового жилого дома, который должен был принять первых жильцов уже этой весной, задерживается из-за проблем с подключением к инженерным сетям и задержек в строительных работах.",1
16,"Строительство нового бизнес-центра, который должен был стать крупнейшим в городе, затягивается из-за проблем с получением разрешений и нехваткой рабочих.",1
17,"Запуск новой ветки метро, который должен был значительно сократить время в пути для жителей, переносится из-за протестов местных жителей и сложностей с переселением.",1
18,"Завершение работ по возведению нового корпуса школы откладывается из-за проблем с подрядчиками и нехваткой строительных материалов.",1
19,"Ввод в эксплуатацию нового концертного зала, который должен был стать главным культурным объектом региона, откладывается из-за проблем с финансированием и задержек в строительных работах.",1
20,"Открытие нового торгового центра в центре города задерживается из-за проблем с получением разрешений и нехваткой рабочей силы.",1
21,"Строительство нового жилого комплекса на окраине города затягивается из-за необходимости внесения изменений в проектную документацию и задержек в поставках материалов.",1
